application/atom+xml,128,atom
application/font-woff,8192,woff
application/java-archive,8192,jar war ear
application/json,512,json
application/mac-binhex40,64,hqx
application/msword,8192,doc
application/octet-stream,16384,bin exe dll deb dmg iso img msi msp msm
application/pdf,16384,pdf
application/postscript,8192,ps eps ai
application/rss+xml,128,rss
application/rtf,4096,rtf
application/vnd.apple.mpegurl,16,m3u8
application/vnd.google-earth.kml+xml,16,kml
application/vnd.google-earth.kmz,16,kmz
application/vnd.ms-excel,1024,xls
application/vnd.ms-fontobject,8192,eot
application/vnd.ms-powerpoint,8192,ppt
application/vnd.openxmlformats-officedocument.presentationml.presentation,16384,pptx
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,16384,xlsx
application/vnd.openxmlformats-officedocument.wordprocessingml.document,16384,docx
application/vnd.wap.wmlc,8192,wmlc
application/x-7z-compressed,16384,7z
application/x-cocoa,8192,cco
application/x-java-archive-diff,512,jardiff
application/x-java-jnlp-file,16,jnlp
application/x-makeself,8192,run
application/x-perl,128,pl pm
application/x-pilot,2048,prc pdb
application/x-rar-compressed,2048,rar
application/x-redhat-package-manager,16384,rpm
application/x-sea,8192,sea
application/x-shockwave-flash,256,swf
application/x-stuffit,8192,sit
application/x-tcl,256,tcl tk
application/x-x509-ca-cert,64,der pem crt
application/x-xpinstall,512,xpi
application/xhtml+xml,2048,xhtml
application/xspf+xml,8192,xspf
application/zip,8192,zip

audio/midi,256,mid midi kar
audio/mpeg,16384,mp3
audio/ogg,8192,ogg
audio/x-m4a,16384,m4a
audio/x-realaudio,2048,ra

image/gif,8192,gif
image/jpeg,8192,jpeg jpg
image/png,1024,png
image/svg+xml,1024,svg svgz
image/tiff,2048,tif tiff
image/vnd.wap.wbmp,256,wbmp
image/webp,8192,webp
image/x-icon,256,ico
image/x-jng,8192,jng
image/x-ms-bmp,256,bmp

text/css,512,css
text/html,2048,html htm shtml
text/mathml,32,mml
text/plain,2048,txt
text/vnd.sun.j2me.app-descriptor,8192,jad
text/vnd.wap.wml,8192,wml
text/x-component,512,htc
text/xml,512,xml

video/3gpp,16384,3gpp 3gp
video/mp2t,16384,ts
video/mp4,32768,mp4
video/mpeg,8192,mpeg mpg
video/quicktime,8192,mov
video/webm,32768,webm
video/x-flv,4096,flv
video/x-m4v,4096,m4v
video/x-mng,4096,mng
video/x-ms-asf,8192,asx asf
video/x-ms-wmv,2048,wmv
video/x-msvideo,32768,avi
